regiao,estado,cod_uf,data,semana_epi,populacao_tcu2019,casos_acumulado,casos_novos,obitos_acumulado,obitos_novos,incidencia100k,mortalidade100k
Norte,AC,12,2020-06-19,25,881935,10987,323,292,5,1245.78,33.11
Norte,AC,12,2020-06-20,25,881935,11263,276,297,5,1277.08,33.68
Norte,AC,12,2020-06-21,26,881935,11381,118,300,3,1290.46,34.02
Norte,AC,12,2020-06-22,26,881935,11539,158,305,5,1308.37,34.58
Norte,AC,12,2020-06-23,26,881935,11810,271,321,16,1339.1,36.4
Norte,AC,12,2020-06-24,26,881935,12022,212,326,5,1363.14,36.96
Norte,AC,12,2020-06-25,26,881935,12304,282,335,9,1395.11,37.98
Norte,AC,12,2020-06-26,26,881935,12644,340,343,8,1433.67,38.89
Norte,AC,12,2020-06-27,26,881935,12913,269,351,8,1464.17,39.8
Norte,AC,12,2020-06-28,27,881935,13058,145,353,2,1480.61,40.03
Norte,AC,12,2020-06-29,27,881935,13146,88,361,8,1490.59,40.93
Norte,AC,12,2020-06-30,27,881935,13253,107,365,4,1502.72,41.39
Nordeste,AL,27,2020-02-25,9,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-02-26,9,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-02-27,9,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-02-28,9,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-02-29,9,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-01,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-02,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-03,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-04,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-05,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-06,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-07,10,3337357,0,0,0,0,0,0
Nordeste,AL,27,2020-03-08,11,3337357,1,1,0,0,0.03,0
Nordeste,AL,27,2020-03-09,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-10,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-11,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-12,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-13,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-14,11,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-15,12,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-16,12,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-17,12,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-18,12,3337357,1,0,0,0,0.03,0
Nordeste,AL,27,2020-03-19,12,3337357,4,3,0,0,0.12,0
Nordeste,AL,27,2020-03-20,12,3337357,5,1,0,0,0.15,0
Nordeste,AL,27,2020-03-21,12,3337357,7,2,0,0,0.21,0
Nordeste,AL,27,2020-03-22,13,3337357,7,0,0,0,0.21,0
Nordeste,AL,27,2020-03-23,13,3337357,7,0,0,0,0.21,0
Nordeste,AL,27,2020-03-24,13,3337357,9,2,0,0,0.27,0
Nordeste,AL,27,2020-03-25,13,3337357,11,2,0,0,0.33,0
Nordeste,AL,27,2020-03-26,13,3337357,11,0,0,0,0.33,0
Nordeste,AL,27,2020-03-27,13,3337357,11,0,0,0,0.33,0
Nordeste,AL,27,2020-03-27,13,,0,0,0,0,,
Nordeste,AL,27,2020-03-28,13,3337357,14,3,0,0,0.42,0
Nordeste,AL,27,2020-03-28,13,,0,0,0,0,,
Nordeste,AL,27,2020-03-29,14,3337357,17,3,0,0,0.51,0
Nordeste,AL,27,2020-03-29,14,,0,0,0,0,,
Nordeste,AL,27,2020-03-30,14,3337357,17,0,0,0,0.51,0
Nordeste,AL,27,2020-03-30,14,,4,4,0,0,,
Nordeste,AL,27,2020-03-31,14,3337357,18,1,1,1,0.54,0.03
Nordeste,AL,27,2020-03-31,14,,4,0,0,0,,
Nordeste,AL,27,2020-04-01,14,3337357,18,0,1,0,0.54,0.03
Nordeste,AL,27,2020-04-01,14,,0,-4,0,0,,
Nordeste,AL,27,2020-04-02,14,3337357,18,0,1,0,0.54,0.03
Nordeste,AL,27,2020-04-02,14,,4,4,0,0,,
Nordeste,AL,27,2020-04-03,14,3337357,22,4,2,1,0.66,0.06
Nordeste,AL,27,2020-04-03,14,,4,0,0,0,,
Nordeste,AL,27,2020-04-04,14,3337357,23,1,2,0,0.69,0.06
Nordeste,AL,27,2020-04-04,14,,4,0,0,0,,
Nordeste,AL,27,2020-04-05,15,3337357,28,5,2,0,0.84,0.06
Nordeste,AL,27,2020-04-05,15,,5,1,0,0,,
Nordeste,AL,27,2020-04-06,15,3337357,31,3,2,0,0.93,0.06
Nordeste,AL,27,2020-04-06,15,,5,0,0,0,,
Nordeste,AL,27,2020-04-07,15,3337357,32,1,2,0,0.96,0.06
Nordeste,AL,27,2020-04-07,15,,6,1,0,0,,
Nordeste,AL,27,2020-04-08,15,3337357,37,5,2,0,1.11,0.06
Nordeste,AL,27,2020-04-08,15,,6,0,1,1,,
Nordeste,AL,27,2020-04-09,15,3337357,37,0,3,1,1.11,0.09
Nordeste,AL,27,2020-04-09,15,,6,0,1,0,,
Nordeste,AL,27,2020-04-10,15,3337357,45,8,3,0,1.35,0.09
Nordeste,AL,27,2020-04-10,15,,7,1,1,0,,
Nordeste,AL,27,2020-04-11,15,3337357,48,3,3,0,1.44,0.09
Nordeste,AL,27,2020-04-11,15,,7,0,1,0,,
Nordeste,AL,27,2020-04-12,16,3337357,48,0,3,0,1.44,0.09
Nordeste,AL,27,2020-04-12,16,,7,0,1,0,,
Nordeste,AL,27,2020-04-13,16,3337357,50,2,3,0,1.5,0.09
Nordeste,AL,27,2020-04-13,16,,7,0,1,0,,
Nordeste,AL,27,2020-04-14,16,3337357,72,22,4,1,2.16,0.12
Nordeste,AL,27,2020-04-14,16,,7,0,1,0,,
Nordeste,AL,27,2020-04-15,16,3337357,82,10,5,1,2.46,0.15
Nordeste,AL,27,2020-04-15,16,,8,1,1,0,,
Nordeste,AL,27,2020-04-16,16,3337357,89,7,5,0,2.67,0.15
Nordeste,AL,27,2020-04-16,16,,7,-1,1,0,,
Nordeste,AL,27,2020-04-17,16,3337357,110,21,7,2,3.3,0.21
Nordeste,AL,27,2020-04-17,16,,7,0,1,0,,
Nordeste,AL,27,2020-04-18,16,3337357,132,22,7,0,3.96,0.21
Nordeste,AL,27,2020-04-18,16,,8,1,2,1,,
Nordeste,AL,27,2020-04-19,17,3337357,159,27,15,8,4.76,0.45
Nordeste,AL,27,2020-04-19,17,,8,0,2,0,,
Nordeste,AL,27,2020-04-20,17,3337357,171,12,18,3,5.12,0.54
Nordeste,AL,27,2020-04-20,17,,8,0,2,0,,
Nordeste,AL,27,2020-04-21,17,3337357,210,39,19,1,6.29,0.57
Nordeste,AL,27,2020-04-21,17,,8,0,2,0,,
Nordeste,AL,27,2020-04-22,17,3337357,243,33,20,1,7.28,0.6
Nordeste,AL,27,2020-04-22,17,,8,0,2,0,,
Nordeste,AL,27,2020-04-23,17,3337357,324,81,22,2,9.71,0.66
Nordeste,AL,27,2020-04-23,17,,8,0,2,0,,
Nordeste,AL,27,2020-04-24,17,3337357,413,89,27,5,12.38,0.81
Nordeste,AL,27,2020-04-24,17,,9,1,2,0,,
Nordeste,AL,27,2020-04-25,17,3337357,501,88,29,2,15.01,0.87
Nordeste,AL,27,2020-04-25,17,,10,1,2,0,,
Nordeste,AL,27,2020-04-26,18,3337357,554,53,32,3,16.6,0.96
Nordeste,AL,27,2020-04-26,18,,10,0,2,0,,
Nordeste,AL,27,2020-04-27,18,3337357,643,89,34,2,19.27,1.02
Nordeste,AL,27,2020-04-27,18,,11,1,2,0,,
Nordeste,AL,27,2020-04-28,18,3337357,777,134,36,2,23.28,1.08
Nordeste,AL,27,2020-04-28,18,,11,0,2,0,,
Nordeste,AL,27,2020-04-29,18,3337357,957,180,41,5,28.68,1.23
Nordeste,AL,27,2020-04-29,18,,11,0,2,0,,
Nordeste,AL,27,2020-04-30,18,3337357,1044,87,47,6,31.28,1.41
Nordeste,AL,27,2020-04-30,18,,11,0,2,0,,
Nordeste,AL,27,2020-05-01,18,3337357,1226,182,53,6,36.74,1.59
Nordeste,AL,27,2020-05-01,18,,11,0,2,0,,
Nordeste,AL,27,2020-05-02,18,3337357,1372,146,58,5,41.11,1.74
Nordeste,AL,27,2020-05-02,18,,12,1,2,0,,
Nordeste,AL,27,2020-05-03,19,3337357,1441,69,64,6,43.18,1.92
Nordeste,AL,27,2020-05-03,19,,11,-1,2,0,,
Nordeste,AL,27,2020-05-04,19,3337357,1538,97,72,8,46.08,2.16
Nordeste,AL,27,2020-05-04,19,,11,0,2,0,,
Nordeste,AL,27,2020-05-05,19,3337357,1606,68,80,8,48.12,2.4
Nordeste,AL,27,2020-05-05,19,,11,0,2,0,,
Nordeste,AL,27,2020-05-06,19,3337357,1703,97,89,9,51.03,2.67
Nordeste,AL,27,2020-05-06,19,,11,0,2,0,,
Nordeste,AL,27,2020-05-07,19,3337357,1867,164,98,9,55.94,2.94
Nordeste,AL,27,2020-05-07,19,,11,0,2,0,,
Nordeste,AL,27,2020-05-08,19,3337357,2033,166,108,10,60.92,3.24
Nordeste,AL,27,2020-05-08,19,,11,0,2,0,,
Nordeste,AL,27,2020-05-09,19,3337357,2172,139,114,6,65.08,3.42
Nordeste,AL,27,2020-05-09,19,,12,1,2,0,,
Nordeste,AL,27,2020-05-10,20,3337357,2258,86,126,12,67.66,3.78
Nordeste,AL,27,2020-05-10,20,,13,1,3,1,,
Nordeste,AL,27,2020-05-11,20,3337357,2343,85,138,12,70.21,4.14
Nordeste,AL,27,2020-05-11,20,,13,0,3,0,,
Nordeste,AL,27,2020-05-12,20,3337357,2580,237,150,12,77.31,4.49
Nordeste,AL,27,2020-05-12,20,,17,4,3,0,,
Nordeste,AL,27,2020-05-13,20,3337357,2761,181,164,14,82.73,4.91
Nordeste,AL,27,2020-05-13,20,,17,0,3,0,,
Nordeste,AL,27,2020-05-14,20,3337357,2972,211,177,13,89.05,5.3
Nordeste,AL,27,2020-05-14,20,,17,0,3,0,,
Nordeste,AL,27,2020-05-15,20,3337357,3212,240,187,10,96.24,5.6
Nordeste,AL,27,2020-05-15,20,,17,0,3,0,,
Nordeste,AL,27,2020-05-16,20,3337357,3593,381,199,12,107.66,5.96
Nordeste,AL,27,2020-05-16,20,,22,5,3,0,,
Nordeste,AL,27,2020-05-17,21,3337357,3816,223,210,11,114.34,6.29
Nordeste,AL,27,2020-05-17,21,,21,-1,3,0,,
Nordeste,AL,27,2020-05-18,21,3337357,4031,215,221,11,120.78,6.62
Nordeste,AL,27,2020-05-18,21,,23,2,3,0,,
Nordeste,AL,27,2020-05-19,21,3337357,4316,285,231,10,129.32,6.92
Nordeste,AL,27,2020-05-19,21,,25,2,3,0,,
Nordeste,AL,27,2020-05-20,21,3337357,4437,121,251,20,132.95,7.52
Nordeste,AL,27,2020-05-20,21,,25,0,3,0,,
Nordeste,AL,27,2020-05-21,21,3337357,4916,479,262,11,147.3,7.85
Nordeste,AL,27,2020-05-21,21,,28,3,3,0,,
Nordeste,AL,27,2020-05-22,21,3337357,5302,386,280,18,158.87,8.39
Nordeste,AL,27,2020-05-22,21,,29,1,3,0,,
Nordeste,AL,27,2020-05-23,21,3337357,5630,328,301,21,168.7,9.02
Nordeste,AL,27,2020-05-23,21,,32,3,3,0,,
Nordeste,AL,27,2020-05-24,22,3337357,6214,584,316,15,186.2,9.47
Nordeste,AL,27,2020-05-24,22,,33,1,3,0,,
Nordeste,AL,27,2020-05-25,22,3337357,6682,468,337,21,200.22,10.1
Nordeste,AL,27,2020-05-25,22,,35,2,3,0,,
Nordeste,AL,27,2020-05-26,22,3337357,7058,376,354,17,211.48,10.61
Nordeste,AL,27,2020-05-26,22,,38,3,3,0,,
Nordeste,AL,27,2020-05-27,22,3337357,7580,522,368,14,227.13,11.03
Nordeste,AL,27,2020-05-27,22,,39,1,3,0,,
Nordeste,AL,27,2020-05-28,22,3337357,8055,475,385,17,241.36,11.54
Nordeste,AL,27,2020-05-28,22,,39,0,3,0,,
Nordeste,AL,27,2020-05-29,22,3337357,8618,563,406,21,258.23,12.17
Nordeste,AL,27,2020-05-29,22,,41,2,3,0,,
Nordeste,AL,27,2020-05-30,22,3337357,9223,605,424,18,276.36,12.7
Nordeste,AL,27,2020-05-30,22,,50,9,3,0,,
Nordeste,AL,27,2020-05-31,23,3337357,10288,1065,443,19,308.27,13.27
Nordeste,AL,27,2020-05-31,23,,50,0,4,1,,
Nordeste,AL,27,2020-06-01,23,3337357,10837,549,461,18,324.72,13.81
Nordeste,AL,27,2020-06-01,23,,51,1,4,0,,
Nordeste,AL,27,2020-06-02,23,3337357,11559,722,482,21,346.35,14.44
Nordeste,AL,27,2020-06-02,23,,52,1,4,0,,
Nordeste,AL,27,2020-06-03,23,3337357,12407,848,506,24,371.76,15.16
Nordeste,AL,27,2020-06-03,23,,53,1,4,0,,
Nordeste,AL,27,2020-06-04,23,3337357,13097,690,531,25,392.44,15.91
Nordeste,AL,27,2020-06-04,23,,54,1,4,0,,
Nordeste,AL,27,2020-06-05,23,3337357,13937,840,557,26,417.61,16.69
Nordeste,AL,27,2020-06-05,23,,56,2,4,0,,
Nordeste,AL,27,2020-06-06,23,3337357,14818,881,582,25,444,17.44
Nordeste,AL,27,2020-06-06,23,,62,6,4,0,,
Nordeste,AL,27,2020-06-07,24,3337357,15706,888,601,19,470.61,18.01
Nordeste,AL,27,2020-06-07,24,,66,4,5,1,,
Nordeste,AL,27,2020-06-08,24,3337357,15706,0,601,0,470.61,18.01
Nordeste,AL,27,2020-06-08,24,,65,-1,5,0,,
Nordeste,AL,27,2020-06-09,24,3337357,17193,1487,640,39,515.17,19.18
Nordeste,AL,27,2020-06-09,24,,68,3,5,0,,
Nordeste,AL,27,2020-06-10,24,3337357,18176,983,660,20,544.62,19.78
Nordeste,AL,27,2020-06-10,24,,72,4,5,0,,
Nordeste,AL,27,2020-06-11,24,3337357,19200,1024,681,21,575.31,20.41
Nordeste,AL,27,2020-06-11,24,,75,3,5,0,,
Nordeste,AL,27,2020-06-12,24,3337357,20031,831,701,20,600.21,21
Nordeste,AL,27,2020-06-12,24,,77,2,5,0,,
Nordeste,AL,27,2020-06-13,24,3337357,20887,856,723,22,625.85,21.66
Nordeste,AL,27,2020-06-13,24,,80,3,5,0,,
Nordeste,AL,27,2020-06-14,25,3337357,22199,1312,744,21,665.17,22.29
Nordeste,AL,27,2020-06-14,25,,81,1,5,0,,
Nordeste,AL,27,2020-06-15,25,3337357,22962,763,768,24,688.03,23.01
Nordeste,AL,27,2020-06-15,25,,82,1,5,0,,
Nordeste,AL,27,2020-06-16,25,3337357,23632,670,793,25,708.11,23.76
Nordeste,AL,27,2020-06-16,25,,82,0,5,0,,
Nordeste,AL,27,2020-06-17,25,3337357,24867,1235,811,18,745.11,24.3
Nordeste,AL,27,2020-06-17,25,,84,2,5,0,,
Nordeste,AL,27,2020-06-18,25,3337357,25633,766,831,20,768.06,24.9
Nordeste,AL,27,2020-06-18,25,,86,2,6,1,,
Nordeste,AL,27,2020-06-19,25,3337357,26906,1273,848,17,806.21,25.41
Nordeste,AL,27,2020-06-19,25,,87,1,6,0,,
Nordeste,AL,27,2020-06-20,25,3337357,27698,792,866,18,829.94,25.95
Nordeste,AL,27,2020-06-20,25,,88,1,6,0,,
Nordeste,AL,27,2020-06-21,26,3337357,28657,959,884,18,858.67,26.49
Nordeste,AL,27,2020-06-21,26,,91,3,6,0,,
Nordeste,AL,27,2020-06-22,26,3337357,29395,738,903,19,880.79,27.06
Nordeste,AL,27,2020-06-22,26,,93,2,7,1,,
Nordeste,AL,27,2020-06-23,26,3337357,30248,853,920,17,906.35,27.57
Nordeste,AL,27,2020-06-23,26,,94,1,7,0,,
Nordeste,AL,27,2020-06-24,26,3337357,31230,982,938,18,935.77,28.11
Nordeste,AL,27,2020-06-24,26,,98,4,7,0,,
Nordeste,AL,27,2020-06-25,26,3337357,32065,835,958,20,960.79,28.71
Nordeste,AL,27,2020-06-25,26,,98,0,7,0,,
Nordeste,AL,27,2020-06-26,26,3337357,32864,799,975,17,984.73,29.21
Nordeste,AL,27,2020-06-26,26,,98,0,7,0,,
Nordeste,AL,27,2020-06-27,26,3337357,33521,657,993,18,1004.42,29.75
Nordeste,AL,27,2020-06-27,26,,98,0,7,0,,
Nordeste,AL,27,2020-06-28,27,3337357,34312,791,1012,19,1028.12,30.32
Nordeste,AL,27,2020-06-28,27,,98,0,7,0,,
Nordeste,AL,27,2020-06-29,27,3337357,35117,805,1032,20,1052.24,30.92
Nordeste,AL,27,2020-06-29,27,,98,0,7,0,,
Nordeste,AL,27,2020-06-30,27,3337357,35962,845,1052,20,1077.56,31.52
Nordeste,AL,27,2020-06-30,27,,103,5,7,0,,
Norte,AM,13,2020-02-25,9,4144597,0,0,0,0,0,0
Norte,AM,13,2020-02-26,9,4144597,0,0,0,0,0,0
Norte,AM,13,2020-02-27,9,4144597,0,0,0,0,0,0
Norte,AM,13,2020-02-28,9,4144597,0,0,0,0,0,0
Norte,AM,13,2020-02-29,9,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-01,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-02,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-03,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-04,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-05,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-06,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-07,10,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-08,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-09,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-10,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-11,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-12,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-13,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-14,11,4144597,0,0,0,0,0,0
Norte,AM,13,2020-03-15,12,4144597,1,1,0,0,0.02,0
Norte,AM,13,2020-03-16,12,4144597,1,0,0,0,0.02,0
Norte,AM,13,2020-03-17,12,4144597,1,0,0,0,0.02,0
Norte,AM,13,2020-03-18,12,4144597,1,0,0,0,0.02,0
Norte,AM,13,2020-03-19,12,4144597,3,2,0,0,0.07,0
Norte,AM,13,2020-03-20,12,4144597,3,0,0,0,0.07,0
Norte,AM,13,2020-03-21,12,4144597,11,8,0,0,0.27,0
Norte,AM,13,2020-03-22,13,4144597,26,15,0,0,0.63,0
Norte,AM,13,2020-03-23,13,4144597,32,6,0,0,0.77,0
Norte,AM,13,2020-03-24,13,4144597,47,15,0,0,1.13,0
Norte,AM,13,2020-03-25,13,4144597,54,7,1,1,1.3,0.02
Norte,AM,13,2020-03-26,13,4144597,67,13,1,0,1.62,0.02
Norte,AM,13,2020-03-27,13,4144597,81,14,1,0,1.95,0.02
Norte,AM,13,2020-03-28,13,4144597,111,30,1,0,2.68,0.02
