regiao,cod_uf,data,semana_epi,populacao_tcu2019,casos_acumulado,casos_novos,obitos_acumulado,obitos_novos,recuperados_novos,em_acompanhamento_novos,incidencia100k,mortalidade100k
Brasil,76,2020-02-25,9,210147125,0,0,0,0,,,0,0
Brasil,76,2020-02-26,9,210147125,1,1,0,0,,,0,0
Brasil,76,2020-02-27,9,210147125,1,0,0,0,,,0,0
Brasil,76,2020-02-28,9,210147125,1,0,0,0,,,0,0
Brasil,76,2020-02-29,9,210147125,2,1,0,0,,,0,0
Brasil,76,2020-03-01,10,210147125,2,0,0,0,,,0,0
Brasil,76,2020-03-02,10,210147125,2,0,0,0,,,0,0
Brasil,76,2020-03-03,10,210147125,2,0,0,0,,,0,0
Brasil,76,2020-03-04,10,210147125,3,1,0,0,,,0,0
Brasil,76,2020-03-05,10,210147125,7,4,0,0,,,0,0
Brasil,76,2020-03-06,10,210147125,13,6,0,0,,,0.01,0
Brasil,76,2020-03-07,10,210147125,19,6,0,0,,,0.01,0
Brasil,76,2020-03-08,11,210147125,25,6,0,0,,,0.01,0
Brasil,76,2020-03-09,11,210147125,25,0,0,0,,,0.01,0
Brasil,76,2020-03-10,11,210147125,34,9,0,0,,,0.02,0
Brasil,76,2020-03-11,11,210147125,52,18,0,0,,,0.02,0
Brasil,76,2020-03-12,11,210147125,77,25,0,0,,,0.04,0
Brasil,76,2020-03-13,11,210147125,98,21,0,0,,,0.05,0
Brasil,76,2020-03-14,11,210147125,121,23,0,0,,,0.06,0
Brasil,76,2020-03-15,12,210147125,200,79,0,0,,,0.1,0
Brasil,76,2020-03-16,12,210147125,234,34,0,0,,,0.11,0
Brasil,76,2020-03-17,12,210147125,291,57,1,1,,,0.14,0
Brasil,76,2020-03-18,12,210147125,428,137,4,3,,,0.2,0
Brasil,76,2020-03-19,12,210147125,621,193,6,2,,,0.3,0
Brasil,76,2020-03-20,12,210147125,904,283,11,5,,,0.43,0.01
Brasil,76,2020-03-21,12,210147125,1128,224,18,7,,,0.54,0.01
Brasil,76,2020-03-22,13,210147125,1546,418,25,7,,,0.74,0.01
Brasil,76,2020-03-23,13,210147125,1891,345,34,9,,,0.9,0.02
Brasil,76,2020-03-24,13,210147125,2201,310,46,12,,,1.05,0.02
Brasil,76,2020-03-25,13,210147125,2433,232,57,11,,,1.16,0.03
Brasil,76,2020-03-26,13,210147125,2915,482,77,20,,,1.39,0.04
Brasil,76,2020-03-27,13,210147125,3417,502,92,15,,,1.63,0.04
Brasil,76,2020-03-28,13,210147125,3903,486,114,22,,,1.86,0.05
Brasil,76,2020-03-29,14,210147125,4256,353,136,22,,,2.03,0.06
Brasil,76,2020-03-30,14,210147125,4579,323,159,23,,,2.18,0.08
Brasil,76,2020-03-31,14,210147125,5717,1138,201,42,,,2.72,0.1
Brasil,76,2020-04-01,14,210147125,6834,1117,241,40,,,3.25,0.11
Brasil,76,2020-04-02,14,210147125,7910,1076,299,58,,,3.76,0.14
Brasil,76,2020-04-03,14,210147125,9056,1146,359,60,,,4.31,0.17
Brasil,76,2020-04-04,14,210147125,10278,1222,432,73,,,4.89,0.21
Brasil,76,2020-04-05,15,210147125,11130,852,486,54,,,5.3,0.23
Brasil,76,2020-04-06,15,210147125,12056,926,553,67,,,5.74,0.26
Brasil,76,2020-04-07,15,210147125,13717,1661,667,114,,,6.53,0.32
Brasil,76,2020-04-08,15,210147125,15927,2210,800,133,,,7.58,0.38
Brasil,76,2020-04-09,15,210147125,17857,1930,941,141,,,8.5,0.45
Brasil,76,2020-04-10,15,210147125,19638,1781,1056,115,,,9.34,0.5
Brasil,76,2020-04-11,15,210147125,20727,1089,1124,68,,,9.86,0.53
Brasil,76,2020-04-12,16,210147125,22169,1442,1223,99,,,10.55,0.58
Brasil,76,2020-04-13,16,210147125,23430,1261,1328,105,,,11.15,0.63
Brasil,76,2020-04-14,16,210147125,25262,1832,1532,204,,,12.02,0.73
Brasil,76,2020-04-15,16,210147125,28320,3058,1736,204,,,13.48,0.83
Brasil,76,2020-04-16,16,210147125,30425,2105,1924,188,,,14.48,0.92
Brasil,76,2020-04-17,16,210147125,33682,3257,2141,217,,,16.03,1.02
Brasil,76,2020-04-18,16,210147125,36599,2917,2347,206,,,17.42,1.12
Brasil,76,2020-04-19,17,210147125,38654,2055,2462,115,22130,14062,18.39,1.17
Brasil,76,2020-04-20,17,210147125,40581,1927,2575,113,22991,15015,19.31,1.23
Brasil,76,2020-04-21,17,210147125,43079,2498,2741,166,24325,16013,20.5,1.3
Brasil,76,2020-04-22,17,210147125,45757,2678,2906,165,25318,17533,21.77,1.38
Brasil,76,2020-04-23,17,210147125,49492,3735,3313,407,26573,19606,23.55,1.58
Brasil,76,2020-04-24,17,210147125,52995,3503,3670,357,27655,21670,25.22,1.75
Brasil,76,2020-04-25,17,210147125,58509,5514,4016,346,29160,25333,27.84,1.91
Brasil,76,2020-04-26,18,210147125,61888,3379,4205,189,30152,27531,29.45,2
Brasil,76,2020-04-27,18,210147125,66501,4613,4543,338,31142,30816,31.64,2.16
Brasil,76,2020-04-28,18,210147125,71886,5385,5017,474,32544,34325,34.21,2.39
